formula,aic,rSquare,warn
route ~ + children + distance + modelYear + passengers + sex,27.4736871,0.69835,
route ~ + age + distance + maritalStatus + origin + passengers,26.14423023,0.72427,
route ~ + flowRate + income + lights + maritalStatus + origin,21.85273164,0.80793,
route ~ + distance + maritalStatus + origin + sex + travelTime,28.91980113,0.67016,
route ~ + flowRate + income + origin,24.17410927,0.68469,
route ~ + age + distance + seatBelts + sex + travelTime,21.04684561,0.82364,
route ~ + flowRate + origin + seatBelts + sex,25.55444724,0.69677,
route ~ + age + children + lights + maritalStatus + modelYear,37.91068707,0.49489,
route ~ + flowRate + modelYear + origin + sex,22.83991414,0.74969,
route ~ + children + flowRate + income + modelYear,23.56556841,0.73555,
route ~ + distance + maritalStatus + modelYear + passengers,26.85243018,0.67147,
route ~ + children + flowRate + income + lights + sex,21.65244977,0.81183,
route ~ + age + distance + maritalStatus + origin + seatBelts,27.83435803,0.69132,
route ~ + age + children + distance + passengers + travelTime,25.22463144,0.74219,
route ~ + age + distance + seatBelts,25.45322334,0.65976,
route ~ + flowRate + income + modelYear + origin + seatBelts,24.42692288,0.75774,
route ~ + flowRate + income + modelYear + passengers + travelTime,23.62308626,0.77341,
route ~ + lights + modelYear + origin + passengers + sex,35.80506669,0.53593,
route ~ + distance + maritalStatus + origin + seatBelts,28.81185264,0.63327,
route ~ + distance + income + origin + passengers + sex,28.94733217,0.66962,
route ~ + age + children + lights + seatBelts + travelTime,40.33944653,0.44754,
route ~ + age + lights + origin + sex + travelTime,40.21391043,0.44999,
route ~ + distance + modelYear + passengers + travelTime,26.72611221,0.67393,
route ~ + age + distance + income + maritalStatus + passengers,26.37408653,0.71979,
